구분,#,우선순위,요청 API (신규/수정 대상),도메인 위치,기능,현재 사용 중인 API 및 문제점,서버에 원하는 것
신규,1,높음,GET /mentor/schedule/dashboard,멘토 마이페이지 > 일정 (schedule/SchedulePage.tsx),주간 피드백 대시보드,"GET /challenge-mentor → 각 챌린지마다 GET /challenge/{id}/mission/feedback → 각 미션마다 GET /challenge/{id}/mission/{mid}/feedback/attendances (총 28회+), 클라이언트에서 통계 계산",한 API에서 챌린지/미션/멘티/통계 모두 반환
신규,2,높음,PATCH /admin/attendance/bulk-assign,어드민 > 멘토멘티 배정 (MentorMenteeAssignment.tsx),멘티에 멘토 일괄 배정,PATCH /attendance/{id} 를 선택된 멘티마다 개별 호출 (20명이면 20회),"{ mentorUserId, attendanceIds[] } 배치 처리 1회로"
신규,3,높음,DELETE /admin/user-career/user/{userId}/{careerId},어드민 > 멘토 관리,어드민 추가 경력 삭제,서버 API 없음 (프론트 mutation만 구현 완료),API 추가
신규,4,중간,GET /admin/challenge/ongoing-feedback-summary,어드민 > 피드백 운영 > 진행중 챌린지 (OngoingChallenges.tsx),진행중 챌린지 + 피드백/멘토 현황,GET /program/admin으로 목록 조회 후 행마다 GET /challenge/{id}/mission/feedback + GET /admin/challenge/{id}/mentor 호출 (N+1),한 API에서 챌린지별 현재 미션/멘토 포함 반환
신규,5,낮음,PATCH /admin/user-career/user/{userId}/{careerId},어드민 > 멘토 관리,어드민 추가 경력 수정,서버 API 없어서 삭제 후 재등록으로 우회,API 추가
수정,6,높음,GET /program/admin,어드민 > 피드백 운영 (OngoingChallenges.tsx),진행중 챌린지 목록,"GET /program/admin?status=PROCEEDING 사용 중이나 모집 마감 기준이라 진행 중이지만 모집 마감된 챌린지가 안 보임",endDateAfter 파라미터 추가 또는 실제 진행중 필터 지원
수정,7,높음,GET /user-career/my,멘토 마이페이지 > 프로필 (CareerSection.tsx),멘토 본인 경력 조회,GET /user-career/my 사용 중이나 isAddedByAdmin: true 경력이 응답에서 누락됨,어드민 추가 경력도 포함 (읽기 전용 표시)
수정,8,높음,GET /admin/challenge/{id}/mentor,어드민 > 멘토멘티 배정 (MentorMenteeAssignment.tsx),챌린지 멘토 목록,"GET /admin/challenge/{id}/mentor 사용 중이나 경력 미포함 → 멘토마다 GET /user/{userId} 개별 호출 (N+1)",응답에 careerInfos (company/job) 포함
수정,9,중간,GET /admin/user/mentor,어드민 > 멘토 관리,멘토 목록 조회,"GET /admin/user/mentor 사용 중이나 email, phoneNum 미반환 → GET /admin/user (전체 유저)로 우회","응답에 email, phoneNum, nickname 추가"
수정,10,중간,GET /challenge/{id}/mission/{mid}/feedback/attendances,멘토 마이페이지 > 피드백 모달 (FeedbackModal.tsx),피드백 제출자 목록,GET /challenge/{id}/mission/{mid}/feedback/attendances로 목록 조회 후 멘티 선택 시 GET .../{aid} 추가 호출,각 attendance에 feedback 필드 포함하여 추가 호출 제거
수정,11,중간,GET /challenge/{id}/mission/feedback,멘토 마이페이지 > 챌린지 상세 (ChallengeDetailPage.tsx),피드백 미션 목록,GET /challenge/{id}/mission/feedback으로 미션 목록 조회 후 미션마다 GET attendances 전체 조회하여 클라이언트에서 집계,"각 미션에 stats (제출수, 완료수 등) 포함"
